miRNA, drug
hsa-let-7a,68165256
hsa-let-7a,70678987
hsa-let-7a,71496458
hsa-let-7a,71587201
hsa-let-7a,71768094
hsa-let-7a,76958517
hsa-let-7a,76962714
hsa-let-7a,76968835
hsa-let-7a,86278362
hsa-let-7a,118987133
hsa-let-7a,131704172
hsa-let-7a,131704316
hsa-let-7a,131704329
hsa-let-7a-1,2123
hsa-let-7a-1,5386
hsa-let-7a-1,5905
hsa-let-7a-1,6083
hsa-let-7a-1,6253
hsa-let-7a-1,6256
hsa-let-7a-1,20058
hsa-let-7a-1,20279
hsa-let-7a-1,21704
hsa-let-7a-1,22660
hsa-let-7a-1,24066
hsa-let-7a-1,34755
hsa-let-7a-1,35370
hsa-let-7a-1,60613
hsa-let-7a-1,60750
hsa-let-7a-1,60825
hsa-let-7a-1,60877
hsa-let-7a-1,60961
hsa-let-7a-1,66377
hsa-let-7a-1,104747
hsa-let-7a-1,119182
hsa-let-7a-1,134664
hsa-let-7a-1,159269
hsa-let-7a-1,446727
hsa-let-7a-1,657237
hsa-let-7a-1,3011155
hsa-let-7a-1,45375808
hsa-let-7a-2,712
hsa-let-7a-2,2375
hsa-let-7a-2,3229
hsa-let-7a-2,3385
hsa-let-7a-2,4091
hsa-let-7a-2,5757
hsa-let-7a-2,6623
hsa-let-7a-2,31703
hsa-let-7a-2,36462
hsa-let-7a-2,60750
hsa-let-7a-2,119307
hsa-let-7a-2,229455
hsa-let-7a-2,444732
hsa-let-7a-2,444795
hsa-let-7a-2,445580
hsa-let-7a-2,451668
hsa-let-7a-2,5310940
hsa-let-7a-3,187
hsa-let-7a-3,996
hsa-let-7a-3,2159
hsa-let-7a-3,2247
hsa-let-7a-3,2343
hsa-let-7a-3,2904
hsa-let-7a-3,3019
hsa-let-7a-3,3114
hsa-let-7a-3,3156
hsa-let-7a-3,3182
hsa-let-7a-3,3393
hsa-let-7a-3,3406
hsa-let-7a-3,3476
hsa-let-7a-3,4060
hsa-let-7a-3,4449
hsa-let-7a-3,4594
hsa-let-7a-3,4740
hsa-let-7a-3,4849
hsa-let-7a-3,5314
hsa-let-7a-3,5335
hsa-let-7a-3,5381
hsa-let-7a-3,5391
hsa-let-7a-3,5487
hsa-let-7a-3,5509
hsa-let-7a-3,5538
hsa-let-7a-3,5546
hsa-let-7a-3,5560
hsa-let-7a-3,6037
hsa-let-7a-3,7618
hsa-let-7a-3,9051
hsa-let-7a-3,9913
hsa-let-7a-3,10026
hsa-let-7a-3,11273
hsa-let-7a-3,15130
hsa-let-7a-3,19861
hsa-let-7a-3,27812
hsa-let-7a-3,28417
hsa-let-7a-3,54454
hsa-let-7a-3,54687
hsa-let-7a-3,56339
hsa-let-7a-3,57697
hsa-let-7a-3,60198
hsa-let-7a-3,60871
hsa-let-7a-3,65028
hsa-let-7a-3,68861
hsa-let-7a-3,74989
hsa-let-7a-3,84098
hsa-let-7a-3,132971
hsa-let-7a-3,185460
hsa-let-7a-3,208902
hsa-let-7a-3,444031
hsa-let-7a-3,444679
hsa-let-7a-3,444795
hsa-let-7a-3,445354
hsa-let-7a-3,446925
hsa-let-7a-3,449171
hsa-let-7a-3,656615
hsa-let-7a-3,3000540
hsa-let-7a-3,3002119
hsa-let-7a-3,3010818
hsa-let-7a-3,3032771
hsa-let-7a-3,3085017
hsa-let-7a-3,5280489
hsa-let-7a-3,5280793
hsa-let-7a-3,5280896
hsa-let-7a-3,5280899
hsa-let-7a-3,5280965
hsa-let-7a-3,5280980
hsa-let-7a-3,5281040
hsa-let-7a-3,5281052
hsa-let-7a-3,5281081
hsa-let-7a-3,5281104
hsa-let-7a-3,5281243
hsa-let-7a-3,5281915
hsa-let-7a-3,5282181
hsa-let-7a-3,5282379
hsa-let-7a-3,5283731
hsa-let-7a-3,5284447
hsa-let-7a-3,5284513
hsa-let-7a-3,5284607
hsa-let-7a-3,5288783
hsa-let-7a-3,5311052
hsa-let-7a-3,5311181
hsa-let-7a-3,5312125
hsa-let-7a-3,5481350
hsa-let-7a-3,6450551
hsa-let-7a-3,9568614
hsa-let-7a-3,9831415
hsa-let-7a-3,9915879
hsa-let-7a-3,9926791
hsa-let-7a-3,9949848
hsa-let-7a-3,11243969
hsa-let-7a-3,11610526
hsa-let-7a-3,11954369
hsa-let-7a-3,16078949
hsa-let-7a-3,16124688
hsa-let-7a-3,16722836
hsa-let-7a-3,22617237
hsa-let-7a-3,24775005
hsa-let-7a-3,24776445
hsa-let-7a-3,25126798
hsa-let-7a-3,46705423
hsa-let-7a-3,54680783
hsa-let-7a-3,89683805
hsa-let-7a-3,131704315
hsa-let-7b,119
hsa-let-7b,176
hsa-let-7b,190
hsa-let-7b,280
hsa-let-7b,281
hsa-let-7b,305
hsa-let-7b,311
hsa-let-7b,338
hsa-let-7b,444
hsa-let-7b,564
hsa-let-7b,586
hsa-let-7b,612
hsa-let-7b,679
hsa-let-7b,712
hsa-let-7b,727
hsa-let-7b,750
hsa-let-7b,753
hsa-let-7b,757
hsa-let-7b,774
hsa-let-7b,807
hsa-let-7b,896
hsa-let-7b,936
hsa-let-7b,938
hsa-let-7b,946
hsa-let-7b,977
hsa-let-7b,988
hsa-let-7b,996
hsa-let-7b,1030
hsa-let-7b,1031
hsa-let-7b,1032
hsa-let-7b,1046
hsa-let-7b,1051
hsa-let-7b,1054
hsa-let-7b,1060
